name,branch_length,is_terminal,n_descendants,terminal_mean,terminal_std,z_score,internal_mean,internal_std,flag
KY549190_2008_07_01,221.85556384508868,True,1,19.37448765096014,21.320464799851276,9.497029173376228,,,severe
OP728372_2018_07_01,174.80277583314984,True,1,19.37448765096014,21.320464799851276,7.290098487124629,,,severe
internal_139325123139856,100.38783031946377,False,5,,,7.169098009778877,10.012317824356023,12.60625986307241,severe
OP751587_2016_07_01,162.28987297269688,True,1,19.37448765096014,21.320464799851276,6.703202142325418,,,severe
OP751633_2016_07_01,155.57094318809865,True,1,19.37448765096014,21.320464799851276,6.3880622123251545,,,severe
internal_139325123137696,90.19793973344522,False,7,,,6.360778119763929,10.012317824356023,12.60625986307241,severe
internal_139325123138128,89.12437774711142,False,2,,,6.2756170967488005,10.012317824356023,12.60625986307241,severe
KX947283_2014_07_01,134.22733925281528,True,1,19.37448765096014,21.320464799851276,5.386976910684251,,,severe
internal_139325136031664,71.81543544023788,False,476,,,4.9025736647649225,10.012317824356023,12.60625986307241,severe
PX461754_2022_07_01,123.87432175098257,True,1,19.37448765096014,21.320464799851276,4.901386300956787,,,severe
internal_139325123140624,69.8158692031979,False,2,,,4.743956734861921,10.012317824356023,12.60625986307241,severe
internal_139325123140816,69.69264329724362,False,19,,,4.734181757406851,10.012317824356023,12.60625986307241,severe
internal_139325123137744,66.08477409524622,False,6,,,4.447985118500021,10.012317824356023,12.60625986307241,severe
internal_139325123140384,64.80674446295254,False,2,,,4.346604562635278,10.012317824356023,12.60625986307241,severe
internal_139325156673536,57.051410663334934,False,475,,,3.7314075189557845,10.012317824356023,12.60625986307241,severe
internal_139325129121408,55.42085179710182,False,5,,,3.6020623456891663,10.012317824356023,12.60625986307241,severe
internal_139325129128560,54.83032064804827,False,474,,,3.555218067095212,10.012317824356023,12.60625986307241,severe
internal_139325123140912,54.51278035592196,False,18,,,3.5300289709179644,10.012317824356023,12.60625986307241,severe
OP728374_2018_07_01,89.14301502963134,True,1,19.37448765096014,21.320464799851276,3.272373657592956,,,severe
OP728436_2018_07_01,86.64661326311982,True,1,19.37448765096014,21.320464799851276,3.1552841949594335,,,severe
internal_139325123134912,49.499748845572825,False,28,,,3.132366891538351,10.012317824356023,12.60625986307241,severe
internal_139325123137648,49.18318657918445,False,52,,,3.107255377907279,10.012317824356023,12.60625986307241,severe
internal_139325122211680,48.366029353473095,False,2,,,3.0424338341197315,10.012317824356023,12.60625986307241,severe
internal_139325123140528,47.64035299965403,False,3,,,2.984869071715872,10.012317824356023,12.60625986307241,warning
